benchmark,benchmark id,solver,configuration,configuration id,status,cpu time,result, checker status, checker cpu time, checker memory, checker result
sat/sc16craft_ecgrid6x165_shuffled.cnf,2888764,GHackCOMSPS_DRUP,ghack_drup,153211,complete,3765.34,UNSAT,complete,1988.93,7002892.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x165_shuffled.cnf,2888764,glucosePLE,default,153967,complete,4916.43,UNSAT,complete,1929.39,7000248.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x165_shuffled.cnf,2888764,abcdSAT_drup,default,154067,timeout (wallclock),5000.01,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x165_shuffled.cnf,2888764,glucose_hack_kiel_newScript,main_new,154744,complete,2233.6,UNSAT,complete,1209.15,4735920.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x165_shuffled.cnf,2888764,Beans And Eggs,default,154732,timeout (wallclock),5000.02,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x165_shuffled.cnf,2888764,cmsat5_main2,default,154241,timeout (cpu),4998.43,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x165_shuffled.cnf,2888764,cmsat5_autotune2,default,154243,timeout (cpu),4998.82,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x165_shuffled.cnf,2888764,gulch,default,154330,timeout (wallclock),5000.01,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x165_shuffled.cnf,2888764,YalSAT 03r,default,154460,timeout (cpu),4997.52,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x165_shuffled.cnf,2888764,Lingeling bbc main,default,154468,complete,2256.61,UNSAT,complete,2140.93,2466648.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x165_shuffled.cnf,2888764,glucose,default,154473,timeout (wallclock),5000.01,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x165_shuffled.cnf,2888764,CHBR_glucose,default,154584,timeout (wallclock),5000.02,UNKNOWN,enqueued,0.0,0.0,--
