pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result
212246989,RandomSat/unif-k3-r4.18-v1000000-c4180000-S3862987954420144508.cnf.bz2,2846038,YalSAT 03r,7211,default,154456,timeout (cpu),5000.31,4998.35,209800.0,UNKNOWN
212247033,RandomSat/unif-k3-r4.2-v1000000-c4200000-S7900610766236505454.cnf.bz2,2846082,YalSAT 03r,7211,default,154456,timeout (cpu),5000.32,4997.03,213664.0,UNKNOWN
212246991,RandomSat/unif-k3-r4.22-v1000000-c4220000-S333337924426921469.cnf.bz2,2846040,YalSAT 03r,7211,default,154456,timeout (cpu),5000.28,4997.84,214472.0,UNKNOWN
212246992,RandomSat/unif-k3-r4.24-v1000000-c4240000-S2844525728137063007.cnf.bz2,2846041,YalSAT 03r,7211,default,154456,timeout (cpu),5000.34,4997.06,215268.0,UNKNOWN
212246993,RandomSat/unif-k3-r4.267-v10000-c42670-S6837533202163093084.cnf.bz2,2846042,YalSAT 03r,7211,default,154456,timeout (cpu),5000.12,4997.22,9516.0,UNKNOWN
212246994,RandomSat/unif-k3-r4.267-v10200-c43523-S2717429653000155458.cnf.bz2,2846043,YalSAT 03r,7211,default,154456,timeout (cpu),5000.06,4997.11,9564.0,UNKNOWN
212246995,RandomSat/unif-k3-r4.267-v10400-c44377-S7516809900444187187.cnf.bz2,2846044,YalSAT 03r,7211,default,154456,timeout (cpu),5000.08,4997.11,9604.0,UNKNOWN
212246996,RandomSat/unif-k3-r4.267-v10600-c45230-S2651906402873873725.cnf.bz2,2846045,YalSAT 03r,7211,default,154456,timeout (cpu),5000.1,4997.11,9648.0,UNKNOWN
212246997,RandomSat/unif-k3-r4.267-v10800-c46084-S5991045543334750852.cnf.bz2,2846046,YalSAT 03r,7211,default,154456,timeout (cpu),5000.09,4997.21,9692.0,UNKNOWN
212246998,RandomSat/unif-k3-r4.267-v11000-c46937-S1461450560285124331.cnf.bz2,2846047,YalSAT 03r,7211,default,154456,timeout (cpu),5000.13,4997.22,9724.0,UNKNOWN
212246999,RandomSat/unif-k3-r4.267-v11200-c47790-S8305288709296839458.cnf.bz2,2846048,YalSAT 03r,7211,default,154456,timeout (cpu),5000.09,4997.11,9764.0,UNKNOWN
212247000,RandomSat/unif-k3-r4.267-v11400-c48644-S2675820989918699954.cnf.bz2,2846049,YalSAT 03r,7211,default,154456,timeout (cpu),5000.06,4997.11,9808.0,UNKNOWN
212247001,RandomSat/unif-k3-r4.267-v11600-c49497-S369478984820784143.cnf.bz2,2846050,YalSAT 03r,7211,default,154456,timeout (cpu),5000.03,4997.11,9852.0,UNKNOWN
212247002,RandomSat/unif-k3-r4.267-v11800-c50351-S8424498052555735402.cnf.bz2,2846051,YalSAT 03r,7211,default,154456,timeout (cpu),5000.13,4997.23,9892.0,UNKNOWN
212247003,RandomSat/unif-k3-r4.267-v12000-c51204-S6797625247295166073.cnf.bz2,2846052,YalSAT 03r,7211,default,154456,timeout (cpu),5000.04,4997.11,9940.0,UNKNOWN
212247004,RandomSat/unif-k3-r4.267-v12200-c52057-S2849878546664736461.cnf.bz2,2846053,YalSAT 03r,7211,default,154456,timeout (cpu),5000.09,4997.12,9968.0,UNKNOWN
212247005,RandomSat/unif-k3-r4.267-v12400-c52911-S5088269682410843460.cnf.bz2,2846054,YalSAT 03r,7211,default,154456,timeout (cpu),5000.03,4996.71,10012.0,UNKNOWN
212247006,RandomSat/unif-k3-r4.267-v12600-c53764-S4788726843582464434.cnf.bz2,2846055,YalSAT 03r,7211,default,154456,timeout (cpu),5000.1,4997.32,10056.0,UNKNOWN
212247007,RandomSat/unif-k3-r4.267-v12800-c54618-S6236879879985531993.cnf.bz2,2846056,YalSAT 03r,7211,default,154456,timeout (cpu),5000.08,4997.11,10100.0,UNKNOWN
212247008,RandomSat/unif-k3-r4.267-v5000-c21335-S1136363800535042192.cnf.bz2,2846057,YalSAT 03r,7211,default,154456,timeout (cpu),5000.04,4997.11,8448.0,UNKNOWN
212247009,RandomSat/unif-k3-r4.267-v5200-c22188-S8678759431095479164.cnf.bz2,2846058,YalSAT 03r,7211,default,154456,timeout (cpu),5000.04,4997.11,8488.0,UNKNOWN
212247010,RandomSat/unif-k3-r4.267-v5400-c23042-S1926298003458181627.cnf.bz2,2846059,YalSAT 03r,7211,default,154456,timeout (cpu),5000.07,4997.01,8528.0,UNKNOWN
212247011,RandomSat/unif-k3-r4.267-v5600-c23895-S5777593333570580817.cnf.bz2,2846060,YalSAT 03r,7211,default,154456,timeout (cpu),5000.11,4997.12,8564.0,UNKNOWN
212247012,RandomSat/unif-k3-r4.267-v5800-c24749-S3629382071718922911.cnf.bz2,2846061,YalSAT 03r,7211,default,154456,timeout (cpu),5000.12,4997.22,8604.0,UNKNOWN
212247013,RandomSat/unif-k3-r4.267-v6000-c25602-S2381859447553883445.cnf.bz2,2846062,YalSAT 03r,7211,default,154456,timeout (cpu),5000.06,4997.11,8644.0,UNKNOWN
212247014,RandomSat/unif-k3-r4.267-v6200-c26455-S1143036732202339163.cnf.bz2,2846063,YalSAT 03r,7211,default,154456,timeout (cpu),5000.04,4997.11,8684.0,UNKNOWN
212247015,RandomSat/unif-k3-r4.267-v6400-c27309-S505065418324942317.cnf.bz2,2846064,YalSAT 03r,7211,default,154456,timeout (cpu),5000.03,4997.11,8724.0,UNKNOWN
212247016,RandomSat/unif-k3-r4.267-v6600-c28162-S5315083792782045010.cnf.bz2,2846065,YalSAT 03r,7211,default,154456,timeout (cpu),5000.13,4997.22,8764.0,UNKNOWN
212247017,RandomSat/unif-k3-r4.267-v6800-c29016-S7603875085197305915.cnf.bz2,2846066,YalSAT 03r,7211,default,154456,timeout (cpu),5000.11,4997.22,8804.0,UNKNOWN
212247018,RandomSat/unif-k3-r4.267-v7000-c29869-S552895528446765880.cnf.bz2,2846067,YalSAT 03r,7211,default,154456,timeout (cpu),5000.12,4997.22,8844.0,UNKNOWN
212247019,RandomSat/unif-k3-r4.267-v7200-c30722-S6702139083167994208.cnf.bz2,2846068,YalSAT 03r,7211,default,154456,timeout (cpu),5000.04,4996.71,8884.0,UNKNOWN
212247020,RandomSat/unif-k3-r4.267-v7400-c31576-S7920011985124030196.cnf.bz2,2846069,YalSAT 03r,7211,default,154456,timeout (cpu),5000.09,4997.11,8920.0,UNKNOWN
212247021,RandomSat/unif-k3-r4.267-v7600-c32429-S8972729710617143788.cnf.bz2,2846070,YalSAT 03r,7211,default,154456,timeout (cpu),5000.1,4997.32,8960.0,UNKNOWN
212247022,RandomSat/unif-k3-r4.267-v7800-c33283-S8340257485534825025.cnf.bz2,2846071,YalSAT 03r,7211,default,154456,timeout (cpu),5000.11,4997.11,9004.0,UNKNOWN
212247023,RandomSat/unif-k3-r4.267-v8000-c34136-S4121784260991402777.cnf.bz2,2846072,YalSAT 03r,7211,default,154456,timeout (cpu),5000.05,4997.11,9048.0,UNKNOWN
212247024,RandomSat/unif-k3-r4.267-v8200-c34989-S1042753361924357193.cnf.bz2,2846073,YalSAT 03r,7211,default,154456,timeout (cpu),5000.11,4997.21,9088.0,UNKNOWN
212247025,RandomSat/unif-k3-r4.267-v8400-c35843-S8974211934440290494.cnf.bz2,2846074,YalSAT 03r,7211,default,154456,timeout (cpu),5000.03,4997.11,9200.0,UNKNOWN
212247026,RandomSat/unif-k3-r4.267-v8600-c36696-S2009949691606143502.cnf.bz2,2846075,YalSAT 03r,7211,default,154456,timeout (cpu),5000.09,4997.11,9228.0,UNKNOWN
212247027,RandomSat/unif-k3-r4.267-v8800-c37550-S4262206290997711842.cnf.bz2,2846076,YalSAT 03r,7211,default,154456,timeout (cpu),5000.05,4997.11,9272.0,UNKNOWN
212247028,RandomSat/unif-k3-r4.267-v9000-c38403-S5434002233926259415.cnf.bz2,2846077,YalSAT 03r,7211,default,154456,complete,671.178,670.779,9316.0,SAT-VERIFIED
212247029,RandomSat/unif-k3-r4.267-v9200-c39256-S8237758639437469643.cnf.bz2,2846078,YalSAT 03r,7211,default,154456,timeout (cpu),5000.11,4997.11,9356.0,UNKNOWN
212247030,RandomSat/unif-k3-r4.267-v9400-c40110-S3542306564360651541.cnf.bz2,2846079,YalSAT 03r,7211,default,154456,timeout (cpu),5000.11,4997.21,9396.0,UNKNOWN
